file,date,clean_pdf
alternative_c33.qmd,2025-04-29,2025-04-29
ancova.qmd,2025-04-10,2025-04-10
anova.qmd,2025-04-24,2025-04-24
asphalt.qmd,2025-04-09,2025-04-09
assumptions_c33.qmd,2025-04-24,2025-04-24
bootstrap.qmd,2025-04-25,2025-04-25
bootstrap_R.qmd,2025-04-11,2025-04-11
bootstrap_c33.qmd,2025-04-24,2025-04-24
choosing.qmd,2025-04-30,2025-04-30
cluster.qmd,2025-04-10,2025-04-10
dates_and_times.qmd,2025-04-11,2025-04-11
dip.qmd,2025-04-09,2025-04-09
discrim.qmd,2025-04-24,2025-04-24
factor.qmd,2025-04-09,2025-04-09
functions.qmd,2025-04-27,2025-04-27
graphs.qmd,2025-04-14,2025-04-14
graphs_c33.qmd,2025-04-23,2025-04-23
index.qmd,2025-04-09,2025-04-09
inference_1.qmd,2025-04-24,2025-04-24
inference_2.qmd,2025-04-24,2025-04-24
inference_3.qmd,2025-04-30,2025-04-30
inference_4a.qmd,2025-04-09,2025-04-09
inference_4b.qmd,2025-04-28,2025-04-28
inference_5a.qmd,2025-04-28,2025-04-28
inference_5b.qmd,2025-04-28,2025-04-28
inference_c33.qmd,2025-04-27,2025-04-27
logistic.qmd,2025-04-25,2025-04-25
manova.qmd,2025-04-25,2025-04-25
multiway.qmd,2025-04-09,2025-04-09
numsum.qmd,2025-04-11,2025-04-11
outline_c32.qmd,2025-04-23,2025-04-23
outline_c33.qmd,2025-04-29,2025-04-29
outline_d29.qmd,2025-04-28,2025-04-28
power_c33.qmd,2025-04-29,2025-04-29
princomp.qmd,2025-04-26,2025-04-26
profile.qmd,2025-04-29,2025-04-29
readfile.qmd,2025-04-30,2025-04-30
regression.qmd,2025-04-25,2025-04-25
reports.qmd,2025-04-29,2025-04-29
rstan.qmd,2025-04-11,2025-04-11
rstan.qmd,2025-04-23,2025-04-23
running.qmd,2025-04-14,2025-04-14
simboot.qmd,2025-04-28,2025-04-28
survival.qmd,2025-04-09,2025-04-09
tidy_extra.qmd,2025-04-24,2025-04-24
tidying.qmd,2025-04-10,2025-04-10
vector_matrix.qmd,2025-04-10,2025-04-10
wider_wrong.qmd,2025-04-11,2025-04-11
windmill.qmd,2025-04-27,2025-04-27
with_categ.qmd,2025-04-23,2025-04-23
